Municipio,Mes,Precio m2,Població resident,RFDB per habitant. Milers d'euros,% ocupació
GAVA,Diciembre 2022,"16,0 €/m2",46974.0,18.9,0.88069
GAVA,Noviembre 2022,"15,6 €/m2",46974.0,18.9,0.88069
GAVA,Octubre 2022,"16,6 €/m2",46974.0,18.9,0.88069
GAVA,Septiembre 2022,"16,7 €/m2",46974.0,18.9,0.88069
GAVA,Agosto 2022,"15,0 €/m2",46974.0,18.9,0.88069
GAVA,Julio 2022,"13,7 €/m2",46974.0,18.9,0.88069
GAVA,Junio 2022,"14,1 €/m2",46974.0,18.9,0.88069
GAVA,Mayo 2022,"14,6 €/m2",46974.0,18.9,0.88069
GAVA,Abril 2022,"13,7 €/m2",46974.0,18.9,0.88069
GAVA,Marzo 2022,"14,1 €/m2",46974.0,18.9,0.88069
GAVA,Febrero 2022,"13,8 €/m2",46974.0,18.9,0.88069
GAVA,Enero 2022,"14,4 €/m2",46974.0,18.9,0.88069
GAVA,Diciembre 2021,"15,2 €/m2",46931.0,18.9,0.88069
GAVA,Noviembre 2021,"15,9 €/m2",46931.0,18.9,0.88069
GAVA,Octubre 2021,"15,8 €/m2",46931.0,18.9,0.88069
GAVA,Septiembre 2021,"13,6 €/m2",46931.0,18.9,0.88069
GAVA,Agosto 2021,"13,1 €/m2",46931.0,18.9,0.88069
GAVA,Julio 2021,"13,9 €/m2",46931.0,18.9,0.88069
GAVA,Junio 2021,"13,9 €/m2",46931.0,18.9,0.88069
GAVA,Mayo 2021,"13,8 €/m2",46931.0,18.9,0.88069
GAVA,Abril 2021,"14,1 €/m2",46931.0,18.9,0.88069
GAVA,Marzo 2021,"14,0 €/m2",46931.0,18.9,0.88069
GAVA,Febrero 2021,"13,7 €/m2",46931.0,18.9,0.88069
GAVA,Enero 2021,"13,6 €/m2",46931.0,18.9,0.88069
GAVA,Diciembre 2020,"14,4 €/m2",47057.0,18.9,0.88069
GAVA,Noviembre 2020,"14,8 €/m2",47057.0,18.9,0.88069
GAVA,Octubre 2020,"14,7 €/m2",47057.0,18.9,0.88069
GAVA,Septiembre 2020,"15,4 €/m2",47057.0,18.9,0.88069
GAVA,Agosto 2020,"15,3 €/m2",47057.0,18.9,0.88069
GAVA,Julio 2020,"14,6 €/m2",47057.0,18.9,0.88069
GAVA,Junio 2020,"14,5 €/m2",47057.0,18.9,0.88069
GAVA,Mayo 2020,"14,0 €/m2",47057.0,18.9,0.88069
GAVA,Abril 2020,"14,2 €/m2",47057.0,18.9,0.88069
GAVA,Marzo 2020,"14,0 €/m2",47057.0,18.9,0.88069
GAVA,Febrero 2020,"13,8 €/m2",47057.0,18.9,0.88069
GAVA,Enero 2020,"13,7 €/m2",47057.0,18.9,0.88069
GAVA,Diciembre 2019,"13,6 €/m2",46771.0,19.2,0.88069
GAVA,Noviembre 2019,"12,9 €/m2",46771.0,19.2,0.88069
GAVA,Octubre 2019,"13,4 €/m2",46771.0,19.2,0.88069
GAVA,Septiembre 2019,"13,5 €/m2",46771.0,19.2,0.88069
GAVA,Agosto 2019,"13,3 €/m2",46771.0,19.2,0.88069
GAVA,Julio 2019,"12,6 €/m2",46771.0,19.2,0.88069
GAVA,Junio 2019,"12,8 €/m2",46771.0,19.2,0.88069
GAVA,Mayo 2019,"13,1 €/m2",46771.0,19.2,0.88069
GAVA,Abril 2019,"13,3 €/m2",46771.0,19.2,0.88069
GAVA,Marzo 2019,"12,9 €/m2",46771.0,19.2,0.88069
GAVA,Febrero 2019,"13,6 €/m2",46771.0,19.2,0.88069
GAVA,Enero 2019,"13,8 €/m2",46771.0,19.2,0.88069
HOSPITALET,Diciembre 2022,"14,2 €/m2",265444.0,15.3,0.85615
HOSPITALET,Noviembre 2022,"13,8 €/m2",265444.0,15.3,0.85615
HOSPITALET,Octubre 2022,"14,0 €/m2",265444.0,15.3,0.85615
HOSPITALET,Septiembre 2022,"13,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Agosto 2022,"13,6 €/m2",265444.0,15.3,0.85615
HOSPITALET,Julio 2022,"13,3 €/m2",265444.0,15.3,0.85615
HOSPITALET,Junio 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Mayo 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Abril 2022,"13,1 €/m2",265444.0,15.3,0.85615
HOSPITALET,Marzo 2022,"13,1 €/m2",265444.0,15.3,0.85615
HOSPITALET,Febrero 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Enero 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Diciembre 2021,"12,9 €/m2",264657.0,15.3,0.85615
HOSPITALET,Noviembre 2021,"12,8 €/m2",264657.0,15.3,0.85615
HOSPITALET,Octubre 2021,"12,7 €/m2",264657.0,15.3,0.85615
HOSPITALET,Septiembre 2021,"12,5 €/m2",264657.0,15.3,0.85615
